In,Out,SN,Time,TimeZone,_RoomId,__v,_id
1,0,FB8A8E16,2018-04-10T21:56:39.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda39c5ddf69000ed1b5c6
1,0,FB8A8E16,2018-04-10T21:56:47.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda3a45ddf69000ed1b5c7
0,1,FB8A8E16,2018-04-10T21:57:08.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda3b85ddf69000ed1b5c8
0,1,FB8A8E16,2018-04-10T21:57:09.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda3b95ddf69000ed1b5c9
1,0,FB8A8E16,2018-04-10T22:00:52.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda4995ddf69000ed1b5ca
1,0,FB8A8E16,2018-04-10T22:10:58.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda6f75ddf69000ed1b5cb
1,0,FB8A8E16,2018-04-10T22:11:21.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda70d5ddf69000ed1b5cc
1,0,FB8A8E16,2018-04-10T22:13:37.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda7965ddf69000ed1b5ce
0,1,FB8A8E16,2018-04-10T22:13:46.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda79f5ddf69000ed1b5d0
0,1,FB8A8E16,2018-04-10T22:15:21.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda7fd5ddf69000ed1b5d1
0,1,FB8A8E16,2018-04-10T22:16:39.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda84d5ddf69000ed1b5d2
1,0,FB8A8E16,2018-04-10T22:22:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda9975ddf69000ed1b5d4
0,1,FB8A8E16,2018-04-10T22:22:25.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda9a55ddf69000ed1b5d5
1,0,FB8A8E16,2018-04-10T22:22:31.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acda9ac5ddf69000ed1b5d6
0,1,FB8A8E16,2018-04-10T22:25:30.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaa5e5ddf69000ed1b5d7
1,0,FB8A8E16,2018-04-10T22:25:39.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaa675ddf69000ed1b5d8
0,1,FB8A8E16,2018-04-10T22:25:58.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaa7c5ddf69000ed1b5d9
1,0,FB8A8E16,2018-04-10T22:26:48.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaaad5ddf69000ed1b5da
1,0,FB8A8E16,2018-04-10T22:27:40.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaae15ddf69000ed1b5db
1,0,FB8A8E16,2018-04-10T22:27:42.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaae25ddf69000ed1b5dc
1,0,FB8A8E16,2018-04-10T22:27:43.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaae25ddf69000ed1b5dd
0,1,FB8A8E16,2018-04-10T22:27:58.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaaf35ddf69000ed1b5e0
1,0,FB8A8E16,2018-04-10T22:28:25.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdab0c5ddf69000ed1b5e1
0,1,FB8A8E16,2018-04-10T22:29:21.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdab595ddf69000ed1b5e3
1,0,FB8A8E16,2018-04-10T22:30:43.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdab975ddf69000ed1b5e4
1,0,FB8A8E16,2018-04-10T22:30:45.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdab985ddf69000ed1b5e5
1,0,FB8A8E16,2018-04-10T22:32:48.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdac155ddf69000ed1b5e6
1,0,FB8A8E16,2018-04-10T22:32:49.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdac155ddf69000ed1b5e7
1,0,FB8A8E16,2018-04-10T22:33:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdac2a5ddf69000ed1b5e8
0,1,FB8A8E16,2018-04-10T22:33:46.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdac4e5ddf69000ed1b5e9
0,1,FB8A8E16,2018-04-10T22:33:55.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdac585ddf69000ed1b5ea
1,0,FB8A8E16,2018-04-10T22:39:57.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdadc75ddf69000ed1b5eb
1,0,FB8A8E16,2018-04-10T22:42:45.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdae6a5ddf69000ed1b5ec
0,1,FB8A8E16,2018-04-10T22:42:55.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdae745ddf69000ed1b5ed
0,1,FB8A8E16,2018-04-10T22:43:59.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaeb45ddf69000ed1b5ee
0,1,FB8A8E16,2018-04-10T22:45:04.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acdaef35ddf69000ed1b5ef
