SN,Time,TimeZone,In,Out
FB8A8E16,2018-03-14T17:36:06.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:38:14.000Z,+0800,0,1
FB8A8E16,2018-03-14T17:40:50.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:41:28.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:50:29.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:50:29.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:52:17.000Z,+0800,0,1
FB8A8E16,2018-03-14T17:54:17.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:56:12.000Z,+0800,0,1
FB8A8E16,2018-03-14T17:58:03.000Z,+0800,1,0
FB8A8E16,2018-03-14T17:58:03.000Z,+0800,1,0
FB8A8E16,2018-03-14T18:00:46.000Z,+0800,0,1
FB8A8E16,2018-03-14T18:00:55.000Z,+0800,1,0
FB8A8E16,2018-03-14T23:00:00.000Z,+0800,0,0
FB8A8E16,2018-03-15T08:59:26.000Z,+0800,0,1
FB8A8E16,2018-03-15T08:59:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:08:49.000Z,+0800,0,1
FB8A8E16,2018-03-15T09:08:49.000Z,+0800,0,1
FB8A8E16,2018-03-15T09:10:07.000Z,+0800,0,1
FB8A8E16,2018-03-15T09:15:09.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:26:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T09:28:44.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:29:35.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:47:44.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:58:39.000Z,+0800,1,0
FB8A8E16,2018-03-15T09:58:51.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:02:51.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:03:51.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:10:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:10:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:14:21.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:14:32.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:17:48.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:19:16.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:19:51.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:19:51.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:21:46.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:21:47.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:26:27.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:28:24.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:31:40.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:32:36.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:36:41.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:22.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:42:23.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:23.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:23.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:29.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:42:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:42:34.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:39.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:42:45.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:42:47.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:43:53.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:44:26.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:44:40.000Z,+0800,1,0
FB8A8E16,2018-03-15T10:47:24.000Z,+0800,0,1
FB8A8E16,2018-03-15T10:58:46.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:00:57.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:01:27.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:02:17.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:04:07.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:17:37.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:19:33.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:25:05.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:25:05.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:25:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:26:12.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:26:58.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:26:58.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:27:38.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:29:32.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:30:22.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:31:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:31:37.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:33:22.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:34:09.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:36:34.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:36:39.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:42:23.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:42:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:42:33.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:42:33.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:43:48.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:43:48.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:46:30.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:47:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:48:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:53:56.000Z,+0800,0,1
FB8A8E16,2018-03-15T11:54:35.000Z,+0800,1,0
FB8A8E16,2018-03-15T11:55:21.000Z,+0800,0,1
FB8A8E16,2018-03-15T12:00:26.000Z,+0800,1,0
FB8A8E16,2018-03-15T12:00:29.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:00:15.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:00:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:02:38.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:02:38.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:03:09.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:03:09.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:03:14.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:03:14.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:03:26.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:03:41.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:05:21.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:05:21.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:09:23.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:15:08.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:16:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:18:13.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:19:12.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:20:43.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:20:46.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:20:48.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:20:58.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:23:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:23:39.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:24:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:24:52.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:25:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:25:20.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:25:37.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:25:40.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:25:47.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:26:02.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:26:02.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:26:06.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:26:33.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:26:41.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:26:55.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:27:28.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:27:28.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:27:28.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:28:11.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:30:54.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:31:25.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:31:39.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:32:31.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:33:57.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:34:58.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:34:58.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:35:06.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:35:10.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:35:13.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:36:30.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:40:03.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:40:44.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:41:43.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:42:04.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:42:05.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:43:09.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:43:11.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:45:44.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:46:41.000Z,+0800,0,1
FB8A8E16,2018-03-15T13:48:04.000Z,+0800,1,0
FB8A8E16,2018-03-15T13:48:19.000Z,+0800,0,1
